etsy_listing_id,etsy_title,net_2026,units_2026,first_sold,launched_2026,signature,shopify_category_match,shopify_candidates_in_category,best_shopify_handle,best_shopify_title,title_similarity,verdict,human_ruling
1903467709,"Personalized Baby Boy Picture Frame: Newborn Keepsake Gift, 4x6 Photo",617.48,27,2025-04-26,False,baby,True,14,baby-boy-birth-announcement-picture-frame-34226,Baby Boy Birth Announcement Picture Frame For Baby Boy New Parents Baby Gift For Newborn Baby Boy Gift Personalized Custom Baby Gift For Boy,0.5,LIKELY ON SHOPIFY,
4394187126,"Tiny Jesus Figurine with Inspirational Card – Pocket Hug Blessing, Christian Novelty Gift Idea",593.18,214,2025-11-11,False,religious,False,0,godfathers-are-a-blessing-gift-for-92874,Godfathers Are A Blessing  Gift For Godfather  Godfather Picture Frame  Personalized Frame  Baptism Gift   Gift Godfather,0.07,NO SHOPIFY EQUIVALENT,
503492874,Godfathers Are A Blessing  Gift For Godfather  Godfather Picture Frame  Personalized Frame  Baptism Gift   Gift Godfather,549.38,23,2024-01-01,False,godfather|religious,True,1,godfathers-are-a-blessing-gift-for-92874,Godfathers Are A Blessing  Gift For Godfather  Godfather Picture Frame  Personalized Frame  Baptism Gift   Gift Godfather,1.0,LIKELY ON SHOPIFY,
477483500,Personalized Engagement Picture Frame: Custom Couple Gift,520.14,22,2024-01-11,False,engagement,True,1,engagement-gift-personalized-engagement-53456,Engagement Gift Personalized Engagement Picture Frame Gift for Girlfriend Boyfriend Engagement Gift Valentines Day Gift,0.17,"CATEGORY EXISTS, DESIGN UNCERTAIN",
4333251686,Miscarriage Gift for Mom – Baby Loss Ultrasound Frame – Memorial Keepsake for Infant Loss – Personalized Grief Gift for Parents,431.4,19,2025-08-07,False,baby|memorial|mom,False,0,baby-loss-gift-miscarriage-gift-55825,Baby Loss Gift  Miscarriage Gift  Bereavement Gift  We Will Hold You In Our Hearts Until We Hold You In Heaven  Ultrasound Picture Frame,0.25,NO SHOPIFY EQUIVALENT,
1862692704,"Custom Pet Photo Frame: Personalized Dog Mom Gift, Fur Baby Keepsake",428.34,19,2025-03-13,False,baby|mom|pet,False,0,dog-loss-gift-rainbow-bridge-dog-18510,Dog Loss Gift Rainbow Bridge  Dog Memorial Gift  Personalized Gift For Pet Memorial  Dog Mom  Pet Loss Picture Frame,0.33,NO SHOPIFY EQUIVALENT,
506405987,Personalized Grandma Picture Frame: Grandma's Little Girl Gift,389.79,18,2024-01-02,False,grandma,True,9,grandma-gift-grandma-and-me-frame-gift-44080,Grandma Gift  Grandma and Me Frame  Gift for Grandma   Grandma Gift  Personalized Picture Frame Grandma Personalized Gift,0.25,"CATEGORY EXISTS, DESIGN UNCERTAIN",
4466178620,Ultrasound Picture Frame Baby Shower Gift Pregnancy Announcement Gift For Expecting Mom Hello Little One Nursery Decor,380.74,17,2026-04-13,True,baby|mom,False,0,pregnancy-gift-sonogram-ultrasound-97805,Pregnancy Gift Sonogram Ultrasound Picture Frame Sonogram Frame Pregnancy Announcement Grandparents Baby Countdown Frame Ultrasound Gifts,0.27,NO SHOPIFY EQUIVALENT,
1697897924,Personalized Pet Photo Car Charm: Memorial Rearview Mirror Ornament,343.75,24,2024-08-13,False,memorial|pet,True,6,pet-memorial-dog-memorial-gift-pet-loss-84805,"Pet Memorial, Dog Memorial Gift, Pet Loss Gifts, Pet Memorial Gift, Loss of Dog, Dog Remembrance Gift, Dog Sympathy Gift, Pet Memorial Frame",0.18,"CATEGORY EXISTS, DESIGN UNCERTAIN",
4371460438,Toile Picture Frame Blue Floral Cottage Style French Country Home Decor Nursery Wall Display Personalized Photo Gift Wedding Housewarming,343.49,15,2026-02-26,True,baby|wedding,False,0,personalized-new-baby-picture-frame-with-25495,"Personalized New Baby Picture Frame with Baby Name – Custom Baby Gift for New Parents, 4x6 Keepsake Frame, Nursery Shelf Decor",0.11,NO SHOPIFY EQUIVALENT,
807142979,"Personalized Grandpa Picture Frame: Custom Christmas Gift, 4x6 Photo",300.47,14,2024-01-08,False,grandpa,True,7,grandpa-personalized-birthday-gift-90021,Grandpa Personalized Birthday Gift  Christmas Gift Grandpa  I Love My Grandpa  Grandpa Personalized Gift  4x6 Picture Frame Custom,0.5,LIKELY ON SHOPIFY,
784655825,Baby Loss Gift  Miscarriage Gift  Bereavement Gift  We Will Hold You In Our Hearts Until We Hold You In Heaven  Ultrasound Picture Frame,266.74,11,2024-01-06,False,baby|memorial,True,1,baby-loss-gift-miscarriage-gift-55825,Baby Loss Gift  Miscarriage Gift  Bereavement Gift  We Will Hold You In Our Hearts Until We Hold You In Heaven  Ultrasound Picture Frame,1.0,LIKELY ON SHOPIFY,
653057583,"Personalized Godfather Picture Frame: Baptism Gift, First Communion",228.37,10,2024-02-27,False,godfather|religious,True,1,godfathers-are-a-blessing-gift-for-92874,Godfathers Are A Blessing  Gift For Godfather  Godfather Picture Frame  Personalized Frame  Baptism Gift   Gift Godfather,0.29,"CATEGORY EXISTS, DESIGN UNCERTAIN",
802482473,Grandma's Little Girl Picture Frame: Personalized Keepsake Gift,227.7,10,2024-02-17,False,grandma,True,9,,,0,"CATEGORY EXISTS, DESIGN UNCERTAIN",
1778211963,Personalized Pet Memorial Frame: Custom Dog Cat Loss Sympathy Gift,226.85,10,2024-09-13,False,memorial|pet,True,6,pet-loss-gifts-personalized-pet-memorial-26738,Pet Loss Gifts  Personalized Pet Memorial Frame | Cat Loss Gift | Dog Loss Gift | Pet Bereavement Gift | Pet Sympathy Gift | Pet Loss Frame,0.86,LIKELY ON SHOPIFY,
4305289242,Personalized Grandpa's Buddy Picture Frame: Custom Photo Gift,208.25,9,2025-05-28,False,grandpa,True,7,grandpa-personalized-gift-birthday-gift-42979,Grandpa Personalized Gift Birthday Gift For Grandpa  Grandpa's Buddy  Grandpa Personalized Gift  4x6 Picture Frame Custom,0.5,LIKELY ON SHOPIFY,
4386302848,Personalized Blue Toile Baby Boy Picture Frame Gift Idea Cottagecore Nursery Decor Custom Baby Name Keepsake Baby Shower Gift,207.83,9,2025-11-05,False,baby,True,14,personalized-new-baby-picture-frame-with-25495,"Personalized New Baby Picture Frame with Baby Name – Custom Baby Gift for New Parents, 4x6 Keepsake Frame, Nursery Shelf Decor",0.36,LIKELY ON SHOPIFY,
4457692649,Grandma Favorite Grandchild Picture Frame Personalized Gift Idea For Grandma Mothers Day Birthday Grandchild Photo Floral Boho Minimalist,205.61,9,2026-03-10,True,grandma,True,9,grammie-gift-for-grammie-birthday-gift-57688,Grammie Gift for Grammie Birthday Gift for Grandma Custom Frame Grammie Gift Personalized Picture Frame for Grammie,0.2,"CATEGORY EXISTS, DESIGN UNCERTAIN",
4516424700,Personalized Baby Girl Picture Frame Pink Floral Newborn Frame Custom Name Baby Shower Gift Boho Floral Baby Frame New Baby Girl Gift,197.92,8,2026-06-13,True,baby,True,14,baby-girl-birth-announcement-picture-45202,Baby Girl Birth Announcement Picture Frame For Baby Girl New Parents Baby Gift For Newborn Baby Girl Gift Personalized Custom Baby Gift,0.27,"CATEGORY EXISTS, DESIGN UNCERTAIN",
4347587633,"Cottagecore Pink Striped Photo Frame: Custom Desk Decor, Dorm Room Gift",190.5,9,2025-10-15,False,(none),True,7,you-were-always-enough-frame-72754,"You Were Always Enough Frame – Self-Love Affirmation Gift, Inner Child Healing Decor, Motivational Wall Art, Therapy Keepsake, Mindset Shift",0.04,"CATEGORY EXISTS, DESIGN UNCERTAIN",
795301379,Personalized Mimi Picture Frame: Grandma Gift,185.04,8,2024-01-02,False,grandma,True,9,mimi-gift-grandma-gift-birthday-mimi-01379,Mimi Gift Grandma Gift Birthday  Mimi Frame  Gift for Grandma  Mimi Gift  Personalized Picture Frame Grandma Personalized Gift,0.67,LIKELY ON SHOPIFY,
4347571825,Personalized Cottagecore Baby Girl Picture Frame: Floral Nursery Decor,180.1,8,2025-09-06,False,baby,True,14,personalized-new-baby-picture-frame-with-25495,"Personalized New Baby Picture Frame with Baby Name – Custom Baby Gift for New Parents, 4x6 Keepsake Frame, Nursery Shelf Decor",0.33,"CATEGORY EXISTS, DESIGN UNCERTAIN",
650885961,I'll Love You Forever I'll Like You For Always As Long As I'm Living Your Baby I'll Be Personalized Frame  Birthday Gift For Dad,179.81,8,2024-01-19,False,baby|dad,False,0,ill-love-you-forever-ill-like-you-for-66545,I'll Love You Forever I'll Like You For Always As Long As I'm Living Your Baby I'll Be Personalized Frame  Wedding Gift For Father Of Bride,0.67,NO SHOPIFY EQUIVALENT,
1832912873,Personalized Aunt Picture Frame: Auntie's Bestie Gift,179.39,8,2024-12-10,False,aunt,True,3,aunties-bestie-picture-frame-aunt-29399,Auntie's Bestie Picture Frame  Aunt Picture Frame   Gift Aunt  Aunt Picture Frame  New Aunt Gift  Birthday Gift for Aunt,0.75,LIKELY ON SHOPIFY,
4466021808,Easter Basket Stuffers Christian Mini Jesus Figurine With Scripture Card Religious Easter Gift For Kids Sunday School Favor,175.92,22,2026-03-19,True,religious,False,0,my-first-easter-frame-baby-easter-54358,My First Easter Frame Baby Easter Keepsake Personalized Easter Gift First Easter Photo Frame Newborn Easter Decor Bunny Picture Frame 4x6,0.05,NO SHOPIFY EQUIVALENT,
1576229399,Auntie's Bestie Picture Frame Aunt Picture Frame Gift For Aunt New Auntie Picture Frame New Aunt Gift  Birthday Gift for Aunt,168.97,7,2024-01-07,False,aunt,True,3,auntie-photo-frame-aunties-bestie-20613,Auntie Photo Frame Auntie's Bestie Picture Frame Aunt Picture Frame Birthday Gift Aunt Picture Frame New Aunt Gift Christmas Gift for Aunt,0.83,LIKELY ON SHOPIFY,
653058379,"Twin Baby Gift Frame, Sometimes When You Pray for a Miracle God Gives You Two, Twin Pregnancy Announcement, Baby Shower Gift for Twins",168.95,7,2024-04-22,False,baby|twin,True,2,twin-baby-gift-frame-sometimes-when-you-58379,"Twin Baby Gift Frame, Sometimes When You Pray for a Miracle God Gives You Two, Twin Pregnancy Announcement, Baby Shower Gift for Twins",1.0,LIKELY ON SHOPIFY,
804231485,Personalized Baby Girl Picture Frame: Floral Nursery Decor,168.78,8,2024-01-12,False,baby,True,14,personalized-new-baby-picture-frame-with-25495,"Personalized New Baby Picture Frame with Baby Name – Custom Baby Gift for New Parents, 4x6 Keepsake Frame, Nursery Shelf Decor",0.38,LIKELY ON SHOPIFY,
4298217103,Personalized Mimi Picture Frame: Grandmother & Granddaughter Gift,162.92,7,2025-05-07,False,grandma,True,9,mimi-gift-grandma-gift-birthday-mimi-01379,Mimi Gift Grandma Gift Birthday  Mimi Frame  Gift for Grandma  Mimi Gift  Personalized Picture Frame Grandma Personalized Gift,0.2,"CATEGORY EXISTS, DESIGN UNCERTAIN",
4379239256,Texas A&M Graduation Picture Frame Aggie Senior Gift Idea College Grad Photo Frame Maroon Bow Frame Texas ATM Decor,162.0,7,2025-11-07,False,graduation,True,1,graduation-picture-frame-for-college-52054,"Graduation Picture Frame for College Girls – Personalized Grad Gift for Best Friends, Roommates, or Class of 2025 Custom Graduation Keepsake",0.2,"CATEGORY EXISTS, DESIGN UNCERTAIN",
781420144,Personalized Papa Picture Frame Gift From Grandkids Custom Grandpa Photo Frame Fathers Day Gift From Baby Grandpa Gift Idea,161.35,7,2024-02-18,False,baby|grandpa,False,0,best-gigi-gift-im-as-lucky-as-can-24933,Best Gigi Gift – I’m As Lucky As Can Be Frame – Personalized 4x6 Gigi Picture Frame – Gift from Grandkids – Mother’s Day Gigi Keepsake,0.25,NO SHOPIFY EQUIVALENT,
807143493,Personalized Dad Picture Frame Gift Idea Daddy’s Little Girl Frame First Father’s Day Gift From Daughter Custom Photo Gift For Dad,158.06,7,2024-01-03,False,dad,False,0,first-fathers-day-as-grandpa-gift-44651,First Father’s Day as Grandpa Gift    Gift Grandpa  I Love My Grandpa  Grandpa Personalized Gift  4x6 Picture Frame,0.27,NO SHOPIFY EQUIVALENT,
658788223,Personalized Pet Memorial Frame: Custom Dog Cat Loss Gift,156.97,7,2024-05-24,False,memorial|pet,True,6,pet-loss-gifts-personalized-pet-memorial-26738,Pet Loss Gifts  Personalized Pet Memorial Frame | Cat Loss Gift | Dog Loss Gift | Pet Bereavement Gift | Pet Sympathy Gift | Pet Loss Frame,0.71,LIKELY ON SHOPIFY,
4379250083,Favorite Grandchild Frame: Personalized Gift for Grandparents,156.78,6,2025-11-20,False,(none),True,7,new-grandparents-gift-grandparents-gift-30698,New Grandparents Gift  Grandparents Gift  Best Parents Get Promoted To Grandparents Picture Frame,0.14,"CATEGORY EXISTS, DESIGN UNCERTAIN",
506350688,Godmother Proposal Gift: Personalized Keepsake Picture Frame,152.84,7,2024-01-02,False,godmother,False,0,godmother-gift-godmother-frame-i-love-40447,Godmother Gift   Godmother Frame  I Love My Godmother 4 x 6 Personalized Frame  Godmother Frame Baptism Gift 1st Communion,0.2,NO SHOPIFY EQUIVALENT,
4463608544,Miscarriage Memorial Frame Ultrasound Picture Frame Baby Loss Gift We Will Hold You In Our Hearts Until We Hold You In Heaven Gift Idea,145.09,6,2026-04-04,True,baby|memorial,True,1,baby-loss-gift-miscarriage-gift-55825,Baby Loss Gift  Miscarriage Gift  Bereavement Gift  We Will Hold You In Our Hearts Until We Hold You In Heaven  Ultrasound Picture Frame,0.83,LIKELY ON SHOPIFY,
4444339419,Grandma Picture Frame Gift Idea Personalized Grandchild Photo Frame Grandma’s Favorite Keepsake Gift Holds 4 x 6 Photo,144.44,6,2026-01-30,True,grandma,True,9,grandma-gift-grandma-and-me-frame-gift-44080,Grandma Gift  Grandma and Me Frame  Gift for Grandma   Grandma Gift  Personalized Picture Frame Grandma Personalized Gift,0.25,"CATEGORY EXISTS, DESIGN UNCERTAIN",
898693242,Great Grandpa Personalized Gift Idea Custom Grandpa Gift Birthday Fathers Day Grandparent Picture Frame,137.86,6,2024-04-24,False,grandpa|great_grandpa,True,1,great-grandpa-fathers-day-personalized-93242,Great Grandpa Father's Day Personalized Gift Christmas Gift Great Grandpa I Love My Grandpa Grandpa Personalized Gift 4x6 Picture Frame,0.33,"CATEGORY EXISTS, DESIGN UNCERTAIN",
4444360799,Personalized Baby Name Picture Frame Gift Idea Cottagecore Floral Toile Nursery Decor Custom Newborn Keepsake Holds 4 x 6 Photo,135.76,6,2026-02-21,True,baby,True,14,personalized-new-baby-picture-frame-with-25495,"Personalized New Baby Picture Frame with Baby Name – Custom Baby Gift for New Parents, 4x6 Keepsake Frame, Nursery Shelf Decor",0.36,LIKELY ON SHOPIFY,
4388033159,Personalized Baby Boy Frame Gift Idea Custom Name Newborn Photo Frame Blue Stripe Baby Shower Gift Baby Boy Nursery Picture Frame Gift,131.95,5,2025-10-18,False,baby,True,14,personalized-baby-boy-picture-frame-68225,"Personalized Baby Boy Picture Frame – Love at First Sight Gift with Name & Birth Date, Baby Shower Keepsake, Blue 4x6 Photo Frame",0.38,LIKELY ON SHOPIFY,
4298746666,"Funny Mom Picture Frame: Favorite Child Gift from Daughter, Personalized",118.33,5,2025-11-11,False,mom,True,1,funny-favorite-child-frame-gift-for-27592,"Funny Favorite Child Frame – Gift for Mom from Daughter or Son, I’m the Favorite Picture Frame, Personalized Mother’s Day Gift",0.67,LIKELY ON SHOPIFY,
1525901435,Personalized Uncle Picture Frame Custom Uncle Gift From Niece Nephew Uncle Birthday Gift Photo Frame Gift Godfather Gift Idea,117.42,5,2024-02-14,False,godfather|uncle,True,1,the-best-uncles-get-promoted-to-godfather-96763,"The Best Uncles Get Promoted to Godfather – Personalized Uncle Gift, Godfather Proposal Frame, Custom Picture Frame from Niece or Nephew",0.45,LIKELY ON SHOPIFY,
1807571169,Glamma Picture Frame Personalized Grandma Gift Grandson Photo Frame There Is This Boy Who Stole My Heart Idea 4x6 Picture Frame,116.71,5,2024-12-06,False,grandma,True,9,grandma-gift-grandma-and-me-frame-gift-44080,Grandma Gift  Grandma and Me Frame  Gift for Grandma   Grandma Gift  Personalized Picture Frame Grandma Personalized Gift,0.11,"CATEGORY EXISTS, DESIGN UNCERTAIN",
1686345184,Custom Teacher Photo Frame: Personalized Thank You Gift,116.7,5,2024-06-24,False,teacher,True,2,teacher-appreciation-gift-custom-45184,"Teacher Appreciation Gift – Custom Teacher Photo Frame, Preschool or Elementary Teacher Gift, End of Year Thank You Gift",0.38,LIKELY ON SHOPIFY,
4446578227,Personalized Baby Photo Frame With Name Custom Baby Girl Picture Frame Nursery Decor Newborn Gift Baby Shower Gift Idea,112.06,5,2026-03-03,True,baby,True,14,personalized-new-baby-picture-frame-with-25495,"Personalized New Baby Picture Frame with Baby Name – Custom Baby Gift for New Parents, 4x6 Keepsake Frame, Nursery Shelf Decor",0.44,LIKELY ON SHOPIFY,
